Symbol,Name,LastSale, MarketCap ,IPOyear,Sector,industry,Summary Quote
CVV,CVD Equipment Corporation,3.6, $23.6M ,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvv
CWBC,Community West Bancshares,9.6882, $82.01M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cwbc
CWBR,"CohBar, Inc.",1.66, $66.33M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cwbr
CWCO,Consolidated Water Co. Ltd.,14.46, $217.3M ,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/cwco
CWST,"Casella Waste Systems, Inc.",45.75, $2.18B ,1997,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/cwst
CXDC,China XD Plastics Company Limited,2.0283, $103.34M ,n/a,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/cxdc
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,70.06, $124.36M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cxse
CY,Cypress Semiconductor Corporation,22.89, $8.45B ,1986,Technology,Semiconductors,https://www.nasdaq.com/symbol/cy
CYAD,Celyad SA,12.29, $146.77M ,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyad
CYAN,Cyanotech Corporation,2.5, $14.72M ,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cyan
CYBE,CyberOptics Corporation,14.33, $102.3M ,1987,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/cybe
CYBR,CyberArk Software Ltd.,120.24, $4.54B ,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cybr
CYCC,"Cyclacel Pharmaceuticals, Inc.",0.445, $7.65M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cycc
CYCCP,"Cyclacel Pharmaceuticals, Inc.",4.8797, $1.64M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyccp
CYCN,"Cyclerion Therapeutics, Inc.",8.56, $234.56M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cycn
CYOU,Changyou.com Limited,5.92, $315.24M ,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyou
CYRN,CYREN Ltd.,1.6, $87.2M ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyrn
CYRX,"CryoPort, Inc.",24.11, $858.14M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyrx
CYRXW,"CryoPort, Inc.",20.46, n/a ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyrxw
CYTK,"Cytokinetics, Incorporated",13.09, $768.11M ,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cytk
CZNC,Citizens & Northern Corp,24.35, $333.3M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cznc
CZR,Caesars Entertainment Corporation,11.6, $7.86B ,2012,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/czr
CZWI,"Citizens Community Bancorp, Inc.",11, $123.98M ,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/czwi
DAIO,Data I/O Corporation,3.82, $31.56M ,1981,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/daio
DAKT,"Daktronics, Inc.",5.99, $270.38M ,1994,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/dakt
DALI,First Trust DorseyWright DALI 1 ETF,20.09, $67.3M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dali
DARE,"Dare Bioscience, Inc.",0.7988, $13.33M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dare
DAVE,"Famous Dave&#39;s of America, Inc.",4.55, $42.2M ,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dave
DAX,Global X DAX Germany ETF,25.01, $15.01M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dax
DBVT,DBV Technologies S.A.,9.41, $679.83M ,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/dbvt
DBX,"Dropbox, Inc.",18.37, $7.59B ,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dbx
DCAR,"DropCar, Inc.",0.7849, $3.08M ,n/a,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/dcar
DCIX,Performance Shipping Inc.,0.8249, $29.93M ,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/dcix
DCOM,"Dime Community Bancshares, Inc.",20.27, $728.91M ,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/dcom
DCPH,"Deciphera Pharmaceuticals, Inc.",35.9, $1.37B ,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dcph
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,25.25, $30.3M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ddiv
DDMX,DD3 Acquisition Corp.,10.07, $72.74M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ddmx
DDMXU,DD3 Acquisition Corp.,10.5, $75.84M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ddmxu
DDMXW,DD3 Acquisition Corp.,0.38, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ddmxw
DEAC,Diamond Eagle Acquisition Corp.,9.78, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/deac
DEACU,Diamond Eagle Acquisition Corp.,10.1, $353.5M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/deacu
DEACW,Diamond Eagle Acquisition Corp.,0.9, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/deacw
DENN,Denny&#39;s Corporation,22.6, $1.34B ,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/denn
DERM,"Dermira, Inc.",8.54, $464.56M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/derm
DEST,Destination Maternity Corporation,0.6113, $8.77M ,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dest
DFBH,DFB Healthcare Acquisitions Corp.,10.18, $318.13M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbh
DFBHU,DFB Healthcare Acquisitions Corp.,10.62, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbhu
DFBHW,DFB Healthcare Acquisitions Corp.,1.64, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbhw
DFFN,Diffusion Pharmaceuticals Inc.,2.09, $9.81M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dffn
DFNL,Davis Select Financial ETF,22.84, $142.75M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dfnl
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",7.97, $267.02M ,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dfrg
DFVL,Barclays PLC,73.29, $5.22M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dfvl
DFVS,Barclays PLC,25.1121, $3.42M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dfvs
DGICA,"Donegal Group, Inc.",14.71, $420.31M ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/dgica
DGICB,"Donegal Group, Inc.",13.2, $377.16M ,1986,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/dgicb
DGII,Digi International Inc.,13.76, $387.16M ,1989,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/dgii
DGLD,Credit Suisse AG,29.38, $15.84M ,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dgld
DGLY,"Digital Ally, Inc.",1.19, $13.6M ,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/dgly
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,22.79, $63.81M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dgre
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,33.8845, $113.51M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dgrs
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,43.67, $2.73B ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dgrw
DHIL,"Diamond Hill Investment Group, Inc.",135, $463.65M ,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/dhil
DHXM,DHX Media Ltd.,1.29, $174.12M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dhxm
DINT,Davis Select International ETF,17.05, $115.09M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dint
DIOD,Diodes Incorporated,37.78, $1.93B ,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/diod
DISCA,"Discovery, Inc.",29.6, $15.91B ,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/disca
DISCB,"Discovery, Inc.",39.5707, $21.27B ,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/discb
DISCK,"Discovery, Inc.",27.35, $14.7B ,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/disck
DISH,DISH Network Corporation,32.26, $15.16B ,1995,Consumer Services,Television Services,https://www.nasdaq.com/symbol/dish
DJCO,Daily Journal Corp. (S.C.),223, $307.91M ,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/djco
DLBS,Barclays PLC,8.2, $5.87M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dlbs
DLHC,DLH Holdings Corp.,4.28, $51.51M ,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/dlhc
DLPN,"Dolphin Entertainment, Inc.",1.07, $15.4M ,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/dlpn
DLPNW,"Dolphin Entertainment, Inc.",0.035, n/a ,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/dlpnw
DLTH,Duluth Holdings Inc.,10.21, $334.12M ,2015,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dlth
DLTR,"Dollar Tree, Inc.",94.6, $22.47B ,1995,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/dltr
DMAC,DiaMedica Therapeutics Inc.,3.46, $41.37M ,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dmac
DMLP,"Dorchester Minerals, L.P.",18.25, $632.91M ,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dmlp
DMPI,"DelMar Pharmaceuticals, Inc.",1.5704, $6.01M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dmpi
DMRC,Digimarc Corporation,43.46, $540.35M ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dmrc
DNBF,DNB Financial Corp,42.97, $186.25M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/dnbf
DNJR,GOLDEN BULL LIMITED,1.0191, $15.69M ,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/dnjr
DNKN,"Dunkin&#39; Brands Group, Inc.",81.75, $6.76B ,2011,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dnkn
DNLI,Denali Therapeutics Inc.,18.84, $1.81B ,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/dnli
DOCU,"DocuSign, Inc.",45.62, $7.93B ,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/docu
DOGZ,Dogness (International) Corporation,2.87, $74.37M ,2017,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/dogz
DOMO,"Domo, Inc.",25.92, $709.48M ,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/domo
DOOO,BRP Inc.,32.29, $1.27B ,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/dooo
DORM,"Dorman Products, Inc.",74.75, $2.45B ,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/dorm
DOVA,"Dova Pharmaceuticals, Inc.",16.15, $465.15M ,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dova
DOX,Amdocs Limited,64.04, $8.78B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox
DOYU,DouYu International Holdings Limited,8.84, $2.87B ,2019,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/doyu
DPHC,DiamondPeak Holdings Corp.,9.78, $342.3M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/dphc
DPHCU,DiamondPeak Holdings Corp.,10.1, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/dphcu
DPHCW,DiamondPeak Holdings Corp.,0.68, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/dphcw
DRAD,Digirad Corporation,4.73, $9.66M ,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/drad
DRIO,DarioHealth Corp.,0.4201, $15.97M ,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/drio
DRIOW,DarioHealth Corp.,0.02, n/a ,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/driow
DRIV,Global X Autonomous & Electric Vehicles ETF,12.6924, $11.43M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/driv
DRNA,"Dicerna Pharmaceuticals, Inc.",14.47, $989.17M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/drna
DRRX,DURECT Corporation,1.36, $261.04M ,2000,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/drrx
DRYS,DryShips Inc.,3.88, $337.12M ,2005,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/drys
DSGX,The Descartes Systems Group Inc.,34.7, $2.92B ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dsgx
DSKE,"Daseke, Inc.",2.21, $142.73M ,2015,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/dske
DSKEW,"Daseke, Inc.",0.0802, n/a ,2015,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/dskew
DSLV,Credit Suisse AG,20.67, $27.06M ,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dslv
DSPG,"DSP Group, Inc.",14.46, $331.45M ,1994,Technology,Semiconductors,https://www.nasdaq.com/symbol/dspg
DSWL,"Deswell Industries, Inc.",2.65, $42.18M ,1995,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/dswl
DTEA,DAVIDsTEA Inc.,1.52, $39.61M ,2015,Consumer Non-Durables,Food Chains,https://www.nasdaq.com/symbol/dtea
DTIL,"Precision BioSciences, Inc.",9.17, $461.82M ,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/dtil
DTSS,Datasea Inc.,1.1999, $25.13M ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dtss
DTUL,Barclays PLC,64.7089, $5.37M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtul
DTUS,Barclays PLC,32.06, $4.12M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtus
DTYL,Barclays PLC,86.8397, $5.54M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtyl
DTYS,Barclays PLC,10.1306, $21.97M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtys
DUSA,Davis Select U.S. Equity ETF,23.31, $195.8M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dusa
DVAX,Dynavax Technologies Corporation,3.51, $228.69M ,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dvax
DVCR,Diversicare Healthcare Services Inc.,3.2, $21.37M ,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/dvcr
DVLU,First Trust Dorsey Wright Momentum & Value ETF,18.14, $18.14M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dvlu
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,22.29, $99.19M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dvol
DVY,iShares Select Dividend ETF,97.69, $17.09B ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dvy
DWAQ,Invesco DWA NASDAQ Momentum ETF,118.7276, $47.49M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwaq
DWAS,Invesco DWA SmallCap Momentum ETF,53.82, $266.41M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwas
DWAT,Arrow DWA Tactical ETF,11.1, $4.44M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwat
DWCR,Arrow DWA Country Rotation ETF,25.75, $14.16M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwcr
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,23.49, $113.93M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwfi
DWIN,Invesco DWA Tactical Multi-Asset Income ETF,25.68, $39.8M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwin
DWLD,Davis Select Worldwide ETF,22.55, $219.86M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwld
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.618, $1.13M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,30.185, $48.3M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwpp
DWSH,AdvisorShares Dorsey Wright Short ETF,27.47, $30.9M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh
DWSN,Dawson Geophysical Company,2.05, $47.6M ,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dwsn
DWTR,Invesco DWA Tactical Sector Rotation ETF,32.19, $67.6M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwtr
DXCM,"DexCom, Inc.",157.3, $14.34B ,2005,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dxcm
DXGE,WisdomTree Germany Hedged Equity Fund,28.05, $40.67M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dxge
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,35.91, $61.05M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dxjs
DXLG,"Destination XL Group, Inc.",1.58, $78.8M ,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dxlg
DXPE,"DXP Enterprises, Inc.",32.73, $576.29M ,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dxpe
DXYN,"The Dixie Group, Inc.",0.89, $14.57M ,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/dxyn
DYAI,"Dyadic International, Inc.",6.1, $163.26M ,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dyai
DYNT,Dynatronics Corporation,1.335, $11.24M ,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dynt
DYSL,Dynasil Corporation of America,1.12, $19.67M ,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dysl
DZSI,"DASAN Zhone Solutions, Inc.",10.4, $221.78M ,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/dzsi
EA,Electronic Arts Inc.,92.34, $27.21B ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ea
EARS,Auris Medical Holding Ltd.,2.73, $6.1M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ears
EAST,"Eastside Distilling, Inc.",4, $36.65M ,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/east
EBAY,eBay Inc.,40.98, $34.37B ,1998,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ebay
EBAYL,eBay Inc.,26.92, n/a ,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ebayl
EBIX,"Ebix, Inc.",38.01, $1.16B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/ebix
EBIZ,Global X E-commerce ETF,17.7961, $2.67M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ebiz
EBMT,"Eagle Bancorp Montana, Inc.",16.905, $108.25M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ebmt
EBSB,"Meridian Bancorp, Inc.",17.79, $948.61M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ebsb
EBTC,Enterprise Bancorp Inc,28.07, $331.37M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ebtc
ECHO,"Echo Global Logistics, Inc.",20.35, $555.2M ,2009,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/echo
ECOL,"US Ecology, Inc.",61.72, $1.36B ,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/ecol
ECOR,"electroCore, Inc.",1.56, $46.22M ,2018,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/ecor
ECOW,Pacer Emerging Markets Cash Cows 100 ETF,23.52, $3.53M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ecow
ECPG,Encore Capital Group Inc,37.52, $1.17B ,n/a,Finance,Finance Companies,https://www.nasdaq.com/symbol/ecpg
EDAP,EDAP TMS S.A.,3.15, $91.34M ,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/edap
EDIT,"Editas Medicine, Inc.",24.59, $1.22B ,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/edit
EDNT,"Edison Nation, Inc.",2.02, $12.93M ,2018,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/ednt
EDRY,EuroDry Ltd.,6.9, $15.73M ,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/edry
EDSA,"Edesa Biotech, Inc.",4.36, $31.12M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/edsa
EDTX,EdtechX Holdings Acquisition Corp.,10.1, $79.85M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/edtx
EDTXU,EdtechX Holdings Acquisition Corp.,10.3, $81.43M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/edtxu
EDTXW,EdtechX Holdings Acquisition Corp.,0.4889, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/edtxw
EDUC,Educational Development Corporation,6.3, $53.14M ,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/educ
EEFT,"Euronet Worldwide, Inc.",153.39, $8.36B ,1997,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/eeft
EEI,"Ecology and Environment, Inc.",10.05, $43.37M ,1987,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/eei
EEMA,iShares MSCI Emerging Markets Asia ETF,61.4, $457.43M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eema
EFAS,Global X MSCI SuperDividend EAFE ETF,14.8901, $20.85M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/efas
EFBI,"Eagle Financial Bancorp, Inc.",15.7542, $25.88M ,2017,Finance,Savings Institutions,https://www.nasdaq.com/symbol/efbi
EFOI,"Energy Focus, Inc.",0.5404, $6.68M ,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/efoi
EFSC,Enterprise Financial Services Corporation,39.33, $1.06B ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/efsc
EGAN,eGain Corporation,7.1, $215.26M ,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/egan
EGBN,"Eagle Bancorp, Inc.",39.67, $1.37B ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/egbn
EGHT,8x8 Inc,25.25, $2.51B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
EGLE,Eagle Bulk Shipping Inc.,4.34, $317.5M ,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/egle
EGOV,NIC Inc.,20.55, $1.38B ,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/egov
EGRX,"Eagle Pharmaceuticals, Inc.",57.71, $788.72M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/egrx
EHTH,"eHealth, Inc.",109.95, $2.51B ,2006,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ehth
EIDX,"Eidos Therapeutics, Inc.",37.8, $1.39B ,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eidx
EIGI,"Endurance International Group Holdings, Inc.",4.72, $689.38M ,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/eigi
EIGR,"Eiger BioPharmaceuticals, Inc.",10.05, $245.68M ,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/eigr
EKSO,"Ekso Bionics Holdings, Inc.",0.85, $63.68M ,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ekso
ELGX,"Endologix, Inc.",6.8, $119.77M ,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/elgx
ELOX,"Eloxx Pharmaceuticals, Inc.",6.58, $262.8M ,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/elox
ELSE,"Electro-Sensors, Inc.",3.78, $12.84M ,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/else
ELTK,Eltek Ltd.,3.29, $14.41M ,1997,Technology,Electrical Products,https://www.nasdaq.com/symbol/eltk
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,113.07, $15.28B ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emb
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,72.7848, $36.39M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emcb
EMCF,Emclaire Financial Corp,34.5, $93.11M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/emcf
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,21.2301, $35.03M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emcg
EMCI,EMC Insurance Group Inc.,36.08, $782M ,1982,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/emci
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,28, $23.8M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emif
EMKR,EMCORE Corporation,3.03, $87.14M ,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/emkr
EML,Eastern Company (The),24.28, $151.41M ,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/eml
EMMA,"Emmaus Life Sciences, Inc.",3.85, $182.74M ,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/emma
EMMAW,"Emmaus Life Sciences, Inc.",0.21, n/a ,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/emmaw
EMMS,Emmis Communications Corporation,5.06, $66.47M ,1994,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/emms
EMXC,iShares MSCI Emerging Markets ex China ETF,46.4862, $27.89M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emxc
ENDP,Endo International plc,2.47, $551.07M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/endp
ENFC,Entegra Financial Corp.,30, $207.68M ,2014,Finance,Banks,https://www.nasdaq.com/symbol/enfc
